"","country","HDI categories"
"1","0.949","Norway Very high huaman development"
"2","0.939","Australia Very high huaman development"
"3","0.939","Switzerland Very high huaman development"
"4","0.926","Germany Very high huaman development"
"5","0.925","Denmark Very high huaman development"
"6","0.925","Singapore Very high huaman development"
"7","0.924","Netherlands Very high huaman development"
"8","0.923","Ireland Very high huaman development"
"9","0.921","Iceland Very high huaman development"
"10","0.920","Canada Very high huaman development"
"11","0.920","United States Very high huaman development"
"12","0.917","Hong Kong Very high huaman development"
"13","0.915","New Zealand Very high huaman development"
"14","0.913","Sweden Very high huaman development"
"15","0.912","Liechtenstein Very high huaman development"
"16","0.909","United Kingdom Very high huaman development"
"17","0.903","Japan Very high huaman development"
"18","0.901","South Korea Very high huaman development"
"19","0.899","Israel Very high huaman development"
"20","0.898","Luxembourg Very high huaman development"
"21","0.897","France Very high huaman development"
"22","0.896","Belgium Very high huaman development"
"23","0.895","Finland Very high huaman development"
"24","0.893","Austria Very high huaman development"
"25","0.890","Slovenia Very high huaman development"
"26","0.887","Italy Very high huaman development"
"27","0.884","Spain Very high huaman development"
"28","0.878","Czech Republic Very high huaman development"
"29","0.866","Greece Very high huaman development"
"30","0.865","Brunei Very high huaman development"
"31","0.865","Estonia Very high huaman development"
"32","0.858","Andorra Very high huaman development"
"33","0.856","Cyprus Very high huaman development"
"34","0.856","Malta Very high huaman development"
"35","0.856","Qatar Very high huaman development"
"36","0.855","Poland Very high huaman development"
"37","0.848","Lithuania Very high huaman development"
"38","0.847","Chile Very high huaman development"
"39","0.847","Saudi Arabia Very high huaman development"
"40","0.845","Slovakia Very high huaman development"
"41","0.843","Portugal Very high huaman development"
"42","0.840","United Arab Emirates Very high huaman development"
"43","0.836","Hungary Very high huaman development"
"44","0.830","Latvia Very high huaman development"
"45","0.827","Argentina Very high huaman development"
"46","0.827","Croatia Very high huaman development"
"47","0.824","Bahrain Very high huaman development"
"48","0.807","Montenegro Very high huaman development"
"49","0.804","Russia Very high huaman development"
"50","0.802","Romania Very high huaman development"
"51","0.800","Kuwait Very high huaman development"
"52","0.796","Belarus High huaman development"
"53","0.796","Oman High huaman development"
"54","0.795","Barbados High huaman development"
"55","0.795","Uruguay High huaman development"
"56","0.794","Bulgaria High huaman development"
"57","0.794","Kazakhstan High huaman development"
"58","0.792","Bahamas High huaman development"
"59","0.789","Malaysia High huaman development"
"60","0.788","Palau High huaman development"
"61","0.788","Panama High huaman development"
"62","0.786","Antigua and Barbuda High huaman development"
"63","0.782","Seychelles High huaman development"
"64","0.781","Mauritius High huaman development"
"65","0.780","Trinidad and Tobago High huaman development"
"66","0.776","Costa Rica High huaman development"
"67","0.776","Serbia High huaman development"
"68","0.775","Cuba High huaman development"
"69","0.774","Iran High huaman development"
"70","0.769","Georgia High huaman development"
"71","0.767","Turkey High huaman development"
"72","0.767","Venezuela High huaman development"
"73","0.766","Sri Lanka High huaman development"
"74","0.765","Saint Kitts and Nevis High huaman development"
"75","0.764","Albania High huaman development"
"76","0.763","Lebanon High huaman development"
"77","0.762","Mexico High huaman development"
